Count;;;N NI;;;Count of objects available in this stream created by MediaInfo when analyzing file. This is mostly for internal use
Status;;;N NI;;;Status of bit field when parsing. Options are: 0=IsAccepted, 1=IsFilled, 2=IsUpdated, 3=IsFinished. This is mostly for internal use
StreamCount;;;N NI;;;Total number of streams available for this StreamKind. Counting starts at 1
StreamKind;Image;;N NT;;;Name of stream type. Options are: Audio, General, Image, Menu, Other, Text, or Video
StreamKind/String;;;N NT;;;Name of stream type. Options are: Audio, General, Image, Menu, Other, Text, or Video
StreamKindID;;;N NI;;;Identification number for stream, assigned in order of parsing. Counting starts at 0
StreamKindPos;;;N NI;;;Identification number for stream when multiple, assigned in order of parsing. Counting starts at 1
StreamOrder;;;N YIY;;;Stream order in the file for type of stream. Counting starts at 0
FirstPacketOrder;;;N NIY;;;Order of the first fully decodable packet parsed in the file for stream type. Counting starts at 0
Inform;;;N NT;;;Last **Inform** call. This is mostly for internal use
ID;;;N YTY;;;The identification number for this stream in this file
ID/String;;;Y NT;;;The identification number for this stream in this file (String format)
OriginalSourceMedium_ID;;;N YTY;;;Identification for this stream in the original medium of the material
OriginalSourceMedium_ID/String;;;Y NT;;;Identification for this stream in the original medium of the material (String format)
UniqueID;;;N YTY;;;The unique ID for this stream, should be copied with stream copy
UniqueID/String;;;Y NT;;;The unique ID for this stream, should be copied with stream copy
MenuID;;;N YTY;;;The menu ID for this stream in this file
MenuID/String;;;Y NT;;;The menu ID for this stream in this file
Title;;;Y YTY;;;Title of track
Format;;;N YTY;;;Format used
Format/String;;;Y NT;;;Format used and any additional features or settings
Format/Info;;;Y NT;;;More details about the identified Format
Format/Url;;;N NT;;;Link to a description of this format
Format_Commercial;;;N NT;;;Commercial name used by vendor for these settings or Format field if there is no difference
Format_Commercial_IfAny;;;Y YTY;;;Commercial name used by vendor for these settings, if available
Format_Version;;;Y NTY;;;Version for the identified format
Format_Profile;;;Y NTY;;;Profile of the Format
Format_Settings_Endianness;;;N YTY;;;Order of bytes required for decoding. Options are Big/Little
Format_Settings_Packing;;;N YTY;;;Data packing method used in DPX frames (e.g. Packed, Filled A, Filled B)
Format_Compression;;;Y YTY;;;Compression method used
Format_Settings;;;Y NT;;;Settings used and required by decoder
Format_Settings_Wrapping;;;Y YTY;;;Wrapping mode set for format (e.g. Frame, Clip)
Format_AdditionalFeatures;;;N YTY;;;Format features needed for fully supporting the content
InternetMediaType;;;N YT;;;Internet Media Type (aka MIME Type, Content-Type)
CodecID;;;Y YTY;;;Codec identifier as indicated by the container
CodecID/String;;;Y NT;;;Codec identifier, as indicated by the container
CodecID/Info;;;Y NT;;;More information about this codec identifier
CodecID/Hint;;;Y NT;;;Common alternative names for this codec identifier
CodecID/Url;;;N NT;;;A link to more details about this codec identifier
CodecID_Description;;;Y YT;;;Codec description, as defined by the container
Codec;;;N NT;;;Deprecated, do not use in new projects
Codec/String;;;N NT;;;Deprecated, do not use in new projects
Codec/Family;;;N NT;;;Deprecated, do not use in new projects
Codec/Info;;;N NT;;;Deprecated, do not use in new projects
Codec/Url;;;N NT;;;Deprecated, do not use in new projects
Width;; pixel;N YIY;;;Width of frame (trimmed to "clean aperture" size if present) in pixels, as integer (e.g. 1920)
Width/String;;;Y NT;;;Width of frame (trimmed to "clean aperture" size if present) in pixels, presented in SI unit digit spacing style, with measurement (e.g. 1 920 pixels)
Width_Offset;; pixel;N YIY;;;Offset between original width and displayed width, in pixels
Width_Offset/String;;;N NT;;;Offset between original width and displayed width, in pixels
Width_Original;; pixel;N YIY;;;Width of frame (not including aperture size if present) in pixels, presented as integer (e.g. 1920)
Width_Original/String;;;Y NT;;;Width of frame (not including aperture size if present) in pixels, present in SI unit digit spacing style, with measurement (e.g. 1 920 pixels)
Height;; pixel;N YIY;;;Height of frame (including aperture size if present) in pixels, presented as integer (e.g. 1080)
Height/String;;;Y NT;;;Height of frame (including aperture size if present) in pixels, present in SI unit digit spacing style, with measurement (e.g. 1 080 pixels)
Height_Offset;; pixel;N YIY;;;Offset between original height and displayed height, in pixels
Height_Offset/String;;;N NT;;;Offset between original height and displayed height, in pixels
Height_Original;; pixel;N YIY;;;Height of frame (not including aperture size if present) in pixels, presented as integer (e.g. 1080)
Height_Original/String;;;Y NT;;;Height of frame (not including aperture size if present) in pixels, present in SI unit digit spacing style, with measurement (e.g. 1 080 pixels)
PixelAspectRatio;;;N YFY;;;Pixel Aspect ratio
PixelAspectRatio/String;;;N NT;;;Pixel Aspect ratio
PixelAspectRatio_Original;;;N YFY;;;Original (in the raw stream) Pixel Aspect ratio
PixelAspectRatio_Original/String;;;N NT;;;Original (in the raw stream) Pixel Aspect ratio
DisplayAspectRatio;;;N YFY;;;The proportional relationship between the width and height of a frame (e.g. 4:3)
DisplayAspectRatio/String;;;Y NT;;;The proportional relationship between the width and height of a frame (e.g. 4:3)
DisplayAspectRatio_Original;;;N YFY;;;The proportional relationship between the width and height of a frame (e.g. 4:3)
DisplayAspectRatio_Original/String;;;Y NT;;;The proportional relationship between the width and height of a frame (e.g. 4:3)
ColorSpace;;;Y YTY;;;Color profile of the image (e.g. YUV)
ChromaSubsampling;;;Y YTY;;;Ratio of chroma to luma in encoded image (e.g. 4:2:2)
Resolution;; bit;N NI;;;Deprecated, do not use in new projects
Resolution/String;;;N NT;;;Deprecated, do not use in new projects
BitDepth;; bit;N YIY;;;Color information stored in the frame, as integer (e.g. 10)
BitDepth/String;;;Y NT;;;Color information stored in the frame, as string (e.g. 10 bits)
